accession.mi	accession.mimat
MI0000851	MIMAT0003152
MI0000852	MIMAT0004712
MI0000853	MIMAT0017099
MI0000854	MIMAT0003153
MI0000855	MIMAT0005441
MI0000856	MIMAT0004713
MI0000857	MIMAT0000796
MI0000858	MIMAT0000797
MI0000859	MIMAT0017101
MI0000860	MIMAT0004715
MI0000861	MIMAT0000800
MI0000862	MIMAT0004717
MI0000863	MIMAT0004718
MI0000864	MIMAT0005445
MI0000865	MIMAT0003154
MI0000866	MIMAT0000804
MI0000867	MIMAT0000805
MI0000868	MIMAT0000806
MI0000869	MIMAT0000807
MI0000870	MIMAT0000808
MI0000871	MIMAT0000804
MI0000872	MIMAT0000810
MI0000873	MIMAT0000811
MI0000874	MIMAT0000812
MI0000875	MIMAT0000813
MI0000876	MIMAT0000814
MI0000877	MIMAT0000815
MI0000878	MIMAT0017107
MI0000879	MIMAT0017108
MI0000880	MIMAT0000817
MI0000881	MIMAT0000818
MI0000882	MIMAT0000819
MI0000883	MIMAT0000820
MI0000884	MIMAT0000821
MI0000885	MIMAT0000822
MI0000886	MIMAT0004726
MI0000887	MIMAT0017113
MI0000888	MIMAT0017114
MI0000889	MIMAT0000825
MI0000890	MIMAT0017115
MI0000891	MIMAT0000827
MI0000892	MIMAT0004728
MI0000893	MIMAT0004728
MI0000894	MIMAT0004728
MI0000895	MIMAT0000829
MI0000896	MIMAT0000830
MI0000897	MIMAT0000830
MI0000898	MIMAT0000831
MI0000899	MIMAT0017117
MI0000900	MIMAT0017118
MI0000901	MIMAT0017119
MI0000902	MIMAT0000600
MI0000903	MIMAT0017121
MI0000904	MIMAT0017122
MI0000905	MIMAT0017123
MI0000906	MIMAT0017124
MI0000907	MIMAT0000840
MI0000908	MIMAT0000841
MI0000909	MIMAT0000842
MI0000910	MIMAT0017126
MI0000911	MIMAT0000844
MI0000912	MIMAT0000844
MI0000913	MIMAT0000845
MI0000914	MIMAT0017128
MI0000915	MIMAT0000847
MI0000916	MIMAT0017129
MI0000917	MIMAT0017130
MI0000918	MIMAT0000851
MI0000919	MIMAT0000852
MI0000920	MIMAT0000853
MI0000921	MIMAT0017134
MI0000922	MIMAT0017135
MI0000923	MIMAT0000856
MI0000924	MIMAT0000857
MI0000925	MIMAT0000858
MI0000926	MIMAT0000859
MI0000927	MIMAT0000859
MI0000928	MIMAT0000860
MI0000929	MIMAT0000861
MI0000930	MIMAT0000862
MI0000931	MIMAT0000863
MI0000932	MIMAT0017144
MI0000933	MIMAT0000865
MI0000934	MIMAT0000866
MI0000935	MIMAT0000867
MI0000936	MIMAT0004736
MI0000937	MIMAT0000869
MI0000938	MIMAT0000869
MI0000939	MIMAT0000870
MI0000940	MIMAT0000871
MI0000941	MIMAT0000872
MI0000942	MIMAT0017150
MI0000943	MIMAT0017151
MI0000944	MIMAT0017152
MI0000945	MIMAT0017153
MI0000946	MIMAT0000877
MI0000947	MIMAT0000878
MI0000948	MIMAT0017154
MI0000949	MIMAT0017155
MI0000950	MIMAT0017156
MI0000951	MIMAT0000882
MI0000952	MIMAT0017158
MI0000953	MIMAT0000858
MI0000954	MIMAT0017159
MI0000955	MIMAT0000886
MI0000956	MIMAT0000887
MI0000957	MIMAT0000888
MI0000958	MIMAT0000888
MI0000959	MIMAT0000889
MI0000960	MIMAT0000889
MI0000961	MIMAT0017163
MI0000962	MIMAT0017164
MI0000963	MIMAT0017165
MI0000964	MIMAT0000893
MI0000965	MIMAT0000894
MI0000966	MIMAT0000896
MI0000967	MIMAT0000898
MI0000968	MIMAT0000899
MI0000969	MIMAT0000900
MI0000970	MIMAT0000901
MI0000971	MIMAT0004743
MI0000972	MIMAT0017168
MI0000974	MIMAT0000904
MI0000975	MIMAT0000905
